Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 570 (C2) mean	Nucleus: Opal 570 (C2) sum	Nucleus: Opal 570 (C2) std dev	Nucleus: Opal 570 (C2) max	Nucleus: Opal 570 (C2) min	Nucleus: Opal 570 (C2) range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Sample AF (C5) mean	Nucleus: Sample AF (C5) sum	Nucleus: Sample AF (C5) std dev	Nucleus: Sample AF (C5) max	Nucleus: Sample AF (C5) min	Nucleus: Sample AF (C5) range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 570 (C2) mean	Cell: Opal 570 (C2) std dev	Cell: Opal 570 (C2) max	Cell: Opal 570 (C2) min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Sample AF (C5) mean	Cell: Sample AF (C5) std dev	Cell: Sample AF (C5) max	Cell: Sample AF (C5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 570 (C2) mean	Cytoplasm: Opal 570 (C2) std dev	Cytoplasm: Opal 570 (C2) max	Cytoplasm: Opal 570 (C2) min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Sample AF (C5) mean	Cytoplasm: Sample AF (C5) std dev	Cytoplasm: Sample AF (C5) max	Cytoplasm: Sample AF (C5) min	Nucleus/Cell area ratio
WI_Scan1.qptiff - resolution #1	d1d930ca-e6b4-406e-b4f7-f2ac61746b61	Cell			Annotation	Polygon	995.5	5280.1	31	21.8582	0.8153	8.7082	4.5	0.8497	54.6457	6940	8.7183	76	32	44	5.9055	750	1.6351	13	4	9	17.2677	2193	7.4306	47	9	38	51.5827	6551	13.4716	88	35	53	88.8189	11280	4.686	103	82	21	72	39.5057	0.5797	16.0017	7.2693	0.9196	31.8805	21.4754	76	4	7.2116	2.4585	16	3	19.8805	12.4912	84	5	65.3584	20.9876	112	25	93.273	7.059	109	77	14.4639	7.3523	38	4	8.2108	2.5174	16	3	21.8795	14.9896	84	5	75.8976	19.5732	112	25	96.6807	6.6679	109	77	0.4162
WI_Scan1.qptiff - resolution #1	1d95dd8f-3b0f-4a1e-81f5-b3d9327e40ff	Cell			Annotation	Polygon	1081.2	5280.2	20.5	18.9482	0.7175	6.8099	4.2332	0.7981	51.8353	4406	10.7247	80	27	53	5.9765	508	1.9819	10	3	7	15.3294	1303	7.6802	50	8	42	62.3412	5299	20.8141	114	35	79	99.1176	8425	7.2349	121	88	33	61.5	33.36	0.6944	13.5719	6.4908	0.8627	29.1935	18.4493	80	10	9.3024	3.0978	14	3	19.5887	16.6393	132	8	98.0323	33.1153	149	35	109.9839	10.4908	127	88	17.3865	7.0766	45	10	11.0368	1.9401	14	3	21.8098	19.4183	132	8	116.6442	20.7474	149	35	115.6503	6.8119	127	89	0.3263
WI_Scan1.qptiff - resolution #1	04609f81-deb9-4718-bde3-1223d9360240	Cell			Annotation	Polygon	1093.1	5280.5	19	16.9481	0.8312	6.7346	3.5	0.8404	52.8875	4231	9.7396	79	34	45	7.35	588	1.7938	12	5	7	17.9	1432	8.0577	55	9	46	73.625	5890	17.8881	113	43	70	103.1375	8251	5.8887	116	93	23	72.75	35.2961	0.7338	13.7667	6.9334	0.885	22.9831	19.3773	79	6	8.6475	2.4211	15	4	12.3966	6.823	55	6	92.6305	26.11	153	43	109.0746	8.321	128	93	11.8558	4.7036	34	6	9.1302	2.4498	15	4	10.3488	4.9449	51	6	99.7023	25.1631	153	49	111.2837	8.0151	128	95	0.2508
WI_Scan1.qptiff - resolution #1	b5a147d7-5d8d-47a7-8082-8e103976c200	Cell			Annotation	Polygon	1057.4	5280.7	21.5	18.8693	0.7588	6.9552	4.5657	0.766	78.1778	7036	12.9966	121	57	64	5.7	513	0.8407	8	4	4	47.3222	4259	29.2336	136	19	117	42.4222	3818	6.4599	60	33	27	91.7333	8256	2.5298	98	87	11	45.5	27.4676	0.7578	10.3493	7.0796	0.7034	65.1793	18.12	121	20	5.8696	1.0425	9	4	38.2228	24.911	136	11	47.8587	10.7983	84	33	93.2663	3.7197	106	87	52.734	12.8207	74	20	6.0319	1.1864	9	4	29.5106	15.6972	100	11	53.0638	11.5552	84	36	94.734	4.0803	106	87	0.4714
WI_Scan1.qptiff - resolution #1	2e5c5d30-a07d-4b5a-ba16-981eef06b977	Cell			Annotation	Polygon	1065.8	5281.3	17.75	15.5049	0.9278	5.261	4.3709	0.4582	76.5467	5741	24.0238	127	43	84	4.5867	344	0.7184	7	3	4	19.8667	1490	5.4359	37	11	26	40.7067	3053	5.0451	51	32	19	91.64	6873	1.9217	96	87	9	70.25	31.7603	0.8752	11.1594	8.8533	0.5861	36.3415	30.6795	127	7	5.6162	1.1421	13	3	28.3486	29.6942	183	9	52.8908	11.0136	84	32	95.4648	3.703	108	87	21.9139	16.8307	76	7	5.9856	1.0353	13	4	31.3923	33.9694	183	9	57.2632	9.1238	84	42	96.8373	3.1899	108	89	0.2478
WI_Scan1.qptiff - resolution #1	890ba89c-e059-475b-aa4a-9ef49e0eb847	Cell			Annotation	Polygon	1005.3	5282.3	17.5	15.5964	0.9041	5.5067	4.3294	0.6751	47.7703	3535	8.9604	68	23	45	4.9595	367	1.1871	9	3	6	33.4189	2473	15.9949	104	15	89	44.1757	3269	11.4872	77	32	45	87.7027	6490	3.7589	98	81	17	64.75	31.6572	0.8119	11.6202	7.3658	0.7002	33.1856	21.0082	88	6	5.5644	1.6371	9	2	25.4621	16.8215	104	6	50.3295	15.8162	81	23	89.6023	5.1904	101	77	27.5053	21.6198	88	6	5.8	1.7281	9	2	22.3632	16.1399	102	6	52.7263	16.6291	81	23	90.3421	5.4834	101	77	0.2599
WI_Scan1.qptiff - resolution #1	f396108b-a09a-4611-8b48-8b4b7bbdd22d	Cell			Annotation	Polygon	1051.1	5282.9	25.5	19.4176	0.8499	6.9617	4.8851	0.6937	68.1584	6884	12.2986	98	47	51	4.4455	449	0.9947	8	3	5	29.6238	2992	13.8216	76	13	63	36.3861	3675	5.7061	51	28	23	88.901	8979	2.5	95	85	10	65.75	31.1809	0.8498	11.2901	7.4905	0.756	46.1194	23.0595	98	10	4.7052	1.0524	9	3	24.8694	15.982	96	6	40.3806	7.5974	61	28	90.153	2.8982	97	85	32.7904	17.0261	74	10	4.8623	1.0581	9	3	21.994	16.5433	96	6	42.7964	7.5924	61	30	90.9102	2.8661	97	85	0.369
WI_Scan1.qptiff - resolution #1	dfb744ff-4335-4789-acd0-4924bfd020ee	Cell			Annotation	Polygon	1013	5283.4	29.5	19.7148	0.9538	6.458	6	0.2743	55.2787	6744	10.9123	79	30	49	4.918	600	2.327	20	3	17	23.1639	2826	15.1823	87	9	78	34.3279	4188	7.4284	58	24	34	84.8033	10346	2.3519	93	80	13	94.25	38.3444	0.8055	14.6918	8.494	0.8007	30.5831	20.1916	79	6	5.0712	2.1499	20	2	15.5409	11.4025	87	5	40.8681	13.028	70	16	87.1425	4.8617	98	76	18.8599	10.8212	56	6	5.144	2.0612	18	2	11.9222	6.4953	44	5	43.9728	13.9453	70	16	88.2529	5.3329	98	76	0.313
WI_Scan1.qptiff - resolution #1	202c1514-e401-42e5-bb87-47e65a636344	Cell			Annotation	Polygon	1022.8	5284.2	41.25	24.1616	0.8879	8.7429	6.0546	0.6963	45.5529	7744	8.0037	65	26	39	4.3176	734	1.5818	13	2	11	15.8824	2700	6.0753	43	9	34	31.3588	5331	8.2509	54	20	34	84.8471	14424	3.1828	94	80	14	142.5	46.3265	0.8344	17.0277	12.5324	0.6963	23.4031	16.5577	65	5	4.8307	1.6728	16	2	10.7225	5.1316	43	5	38.452	11.1335	72	20	86.8918	4.0485	99	80	14.0596	8.2565	41	5	5.0471	1.6648	16	3	8.5459	2.4382	21	5	41.4442	10.8398	72	23	87.7543	4.068	99	80	0.2851
WI_Scan1.qptiff - resolution #1	a11b34f8-d4f5-44db-8c64-33ccc94f394e	Cell			Annotation	Polygon	992.76	5286.3	33	21.096	0.9318	7.737	5.1167	0.7512	56.5896	7583	11.4932	89	31	58	5.9104	792	1.7958	12	3	9	19.8284	2657	6.479	44	10	34	53.4104	7157	15.6307	95	34	61	88.7239	11889	5.2032	104	82	22	90.25	37.9893	0.7858	14.1812	8.9732	0.8008	30.1264	22.133	89	4	7.2885	2.6152	17	2	17.3049	10.0819	75	5	67.3791	23.1926	114	18	93.2885	7.7961	110	75	14.7087	7.1605	41	4	8.0913	2.6851	17	2	15.8348	11.4388	75	5	75.5174	23.0228	114	18	95.9478	7.831	110	75	0.358
