Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 570 (C2) mean	Nucleus: Opal 570 (C2) sum	Nucleus: Opal 570 (C2) std dev	Nucleus: Opal 570 (C2) max	Nucleus: Opal 570 (C2) min	Nucleus: Opal 570 (C2) range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Sample AF (C5) mean	Nucleus: Sample AF (C5) sum	Nucleus: Sample AF (C5) std dev	Nucleus: Sample AF (C5) max	Nucleus: Sample AF (C5) min	Nucleus: Sample AF (C5) range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 570 (C2) mean	Cell: Opal 570 (C2) std dev	Cell: Opal 570 (C2) max	Cell: Opal 570 (C2) min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Sample AF (C5) mean	Cell: Sample AF (C5) std dev	Cell: Sample AF (C5) max	Cell: Sample AF (C5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 570 (C2) mean	Cytoplasm: Opal 570 (C2) std dev	Cytoplasm: Opal 570 (C2) max	Cytoplasm: Opal 570 (C2) min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Sample AF (C5) mean	Cytoplasm: Sample AF (C5) std dev	Cytoplasm: Sample AF (C5) max	Cytoplasm: Sample AF (C5) min	Nucleus/Cell area ratio
WK_Scan1.qptiff - resolution #1	9de44fa1-6d76-41f4-8e78-e3ca12e0e359	Cell			Annotation	Polygon	2403.5	5751.5	30.5	20.2538	0.9343	7.3154	5.4154	0.7009	39.52	4940	15.4526	111	21	90	6.648	831	1.6425	11	4	7	6.6	825	1.5345	12	4	8	74.944	9368	15.8228	129	48	81	83.568	10446	5.0726	102	74	28	135.5	44.7859	0.8489	15.8602	10.5	0.6814	18.2161	14.5195	111	4	8.2601	2.3191	14	4	6.5476	1.2658	12	4	90.8736	26.1107	167	38	90.7271	9.5489	113	65	11.8907	5.28	38	4	8.7387	2.2758	14	4	6.5321	1.176	12	4	95.6033	26.6986	167	38	92.8527	9.5363	113	65	0.2204
WK_Scan1.qptiff - resolution #1	74b4a79d-aef0-490c-b70a-d804bb336e97	Cell			Annotation	Polygon	2469	5749.7	18	15.7764	0.9088	5.7933	3.7842	0.7478	42.5135	3146	7.4102	63	27	36	11.2973	836	2.7335	18	6	12	14.1486	1047	4.926	29	8	21	121.4054	8984	31.1439	184	63	121	108.4189	8023	10.4002	127	88	39	64.25	33.3135	0.7275	13.1665	7.3333	0.7899	21.3745	14.3187	63	5	11.668	3.5402	19	3	10.0965	3.977	29	4	128.0347	38.2963	200	36	109.2471	12.8154	135	77	12.9189	3.7546	28	5	11.8162	3.812	19	3	8.4757	1.818	21	4	130.6865	40.5818	200	36	109.5784	13.6742	135	77	0.2666
WK_Scan1.qptiff - resolution #1	38ff0488-ad10-4ba6-b65e-1cc6bc751944	Cell			Annotation	Polygon	2510.7	5751	27	20.3374	0.8203	7.8053	4.8988	0.8105	67.9823	7682	22.1246	152	36	116	8.2566	933	1.6732	13	6	7	10.7965	1220	3.3412	26	7	19	91.0708	10291	18.7587	150	63	87	99.0973	11198	7.2752	124	88	36	130.5	45.8013	0.7817	17.3392	10	0.7693	27.5486	25.7238	152	4	10.9257	2.6958	20	3	10.8	9.4311	139	4	117.1048	29.9577	177	26	106.9886	10.6896	134	71	16.4587	11.725	80	4	11.6578	2.4509	20	3	10.801	10.5052	139	4	124.2451	28.4757	177	26	109.1529	10.4615	134	71	0.2061
WK_Scan1.qptiff - resolution #1	bbb5dd04-a348-4217-8db8-fb8c1b076fd3	Cell			Annotation	Polygon	2429.3	5751.3	37.25	24.9546	0.7517	9.5575	5.4274	0.8336	60.2129	9333	18.4623	135	33	102	5.4387	843	2.3134	19	3	16	7.5355	1168	2.9832	20	4	16	54.4968	8447	20.729	115	29	86	80.8645	12534	7.2363	103	72	31	159.75	50.0371	0.8018	19.0007	10.5	0.8186	26.2804	23.5952	135	5	8.4128	3.2799	37	3	7.4751	2.1351	23	4	86.7601	30.6834	154	29	92.3598	10.9328	115	71	15.4805	11.9243	73	5	9.3593	2.9621	37	3	7.4559	1.7863	23	5	97.0287	25.8443	154	34	96.0185	9.2464	115	71	0.2312
WK_Scan1.qptiff - resolution #1	6b5f9c12-f301-412e-8095-b043f94f3c98	Cell			Annotation	Polygon	2526.7	5751.6	31.25	20.6497	0.9209	7.3789	5.549	0.6599	93.0775	12007	22.3063	159	47	112	10.8217	1396	2.5076	18	6	12	16.8062	2168	7.4656	52	9	43	118.4109	15275	28.9667	187	69	118	108.9302	14052	10.6604	134	90	44	97.75	39.8594	0.7732	15.4467	10.7566	0.6974	44.7595	36.7671	159	11	14.3291	3.5663	23	6	12.3544	5.3711	52	7	155.4633	38.6146	232	69	120.8633	13.0783	147	90	21.3271	9.0501	63	11	16.0301	2.642	23	9	10.1955	1.2824	15	7	173.4323	28.6223	232	110	126.6504	9.8223	147	106	0.3091
WK_Scan1.qptiff - resolution #1	e36078aa-7b64-4ea2-b3ac-e20316d9ee89	Cell			Annotation	Polygon	2478.8	5752.9	16.25	16.7513	0.7277	6.8531	3.051	0.8978	61.3382	4171	23.8156	136	34	102	8.4706	576	2.7507	21	5	16	30.25	2057	28.6942	147	9	138	74.7206	5081	15.3583	109	50	59	94.9706	6458	10.4424	144	84	60	90.5	36.868	0.8367	13.3668	9.7424	0.7273	24.8825	22.578	136	6	9.5492	2.9879	22	4	13.959	15.2976	147	6	96.2104	29.2498	176	48	99.3279	10.8432	159	81	16.5638	11.1716	71	6	9.7953	2.9896	22	4	10.2416	5.218	50	6	101.1141	29.468	176	48	100.3222	10.7031	159	81	0.1748
WK_Scan1.qptiff - resolution #1	07fcceb8-4925-41bf-940c-1f3c184370e4	Cell			Annotation	Polygon	2390.6	5754.1	26	18.3833	0.9668	6.0628	5.3888	0.3132	70.1296	7574	27.9054	184	35	149	10.3056	1113	4.3674	22	4	18	17.0648	1843	9.7226	46	7	39	101.1574	10925	46.9068	186	38	148	91.2037	9850	17.9307	123	65	58	166.75	47.1707	0.9417	15.8888	13.4136	0.4873	24.3418	24.665	184	5	11.3776	4.2171	23	4	13.0896	16.9044	212	4	112.3895	42.1625	193	38	95.6821	16.6374	126	65	15.5427	9.787	86	5	11.5836	4.16	23	4	12.3256	17.8638	212	4	114.548	40.8814	193	45	96.5427	16.2532	126	67	0.1501
WK_Scan1.qptiff - resolution #1	69019e81-be52-40fe-b2aa-f16bd8650082	Cell			Annotation	Polygon	2521.4	5758.2	18.75	19.6646	0.6093	7.8249	3.5108	0.9323	62.3924	4929	27.0832	169	29	140	7.962	629	3.5353	25	4	21	14.0886	1113	16.4739	121	6	115	70.0127	5531	15.0703	109	48	61	89.9873	7109	5.3792	103	82	21	119	43.9765	0.7732	15.4546	10.6958	0.73	24.4038	21.3793	169	8	12.2887	5.6201	75	4	11.4268	9.1559	121	6	114.1506	32.1988	176	48	105.7762	11.421	129	81	16.8822	7.8028	55	8	13.1454	5.5636	75	6	10.8997	6.7526	80	7	122.8897	27.1069	176	50	108.9023	9.5593	129	81	0.1539
WK_Scan1.qptiff - resolution #1	849e9a9f-eb47-40c7-ad36-d26f95e375aa	Cell			Annotation	Polygon	2378.8	5757.8	20.25	19.1086	0.6969	7.8922	3.2278	0.9188	53.9048	4528	19.1586	101	27	74	11.0238	926	4.0834	25	4	21	31.6667	2660	15.0127	69	7	62	90.4286	7596	17.6268	120	46	74	89.5952	7526	7.5508	103	71	32	105.75	40.9475	0.7926	15.4541	8.5	0.785	22.68	19.0153	101	5	12.6682	6.8471	78	4	19.1929	13.9756	92	6	108.5459	29.1364	178	45	95.8541	11.6957	124	70	14.9883	7.8163	55	5	13.0733	7.3186	78	4	16.1202	11.8592	92	6	113.0088	29.6943	178	45	97.3959	12.0252	124	70	0.1923
WK_Scan1.qptiff - resolution #1	26d8a758-9af7-4265-b421-f5e0b5ff3ab3	Cell			Annotation	Polygon	2473.3	5758.6	30.5	19.8599	0.9718	6.866	5.6325	0.5226	102.2339	12677	20.9467	187	62	125	6.5161	808	2.0894	12	3	9	13.3387	1654	4.1357	32	8	24	59.4355	7370	18.4916	113	34	79	86.0968	10676	7.7243	114	74	40	70.75	32.0682	0.8645	11.8282	8.5828	0.6361	60.8697	40.7806	187	11	9.3063	3.2766	22	3	13.0915	5.7797	59	8	88.6092	32.5621	158	34	97.0282	12.3219	122	74	28.8125	15.8785	76	11	11.4688	2.226	22	7	12.9	6.7927	59	8	111.2188	21.0831	158	68	105.5	7.6594	122	91	0.4254
WK_Scan1.qptiff - resolution #1	3af016b6-7355-4360-b304-960a707b02c8	Cell			Annotation	Polygon	2463.2	5760	34.25	25.3114	0.6718	8.0282	6.3716	0.3358	80.9065	11246	23.3505	166	39	127	10.3597	1440	16.0118	103	2	101	27.5683	3832	27.2101	150	7	143	40.2446	5594	13.4066	76	20	56	78.5324	10916	5.6726	94	68	26	156	47.2008	0.8799	17.5031	12.2105	0.6958	32.0048	31.0399	166	1	8.4143	9.3845	103	1	15.0333	20.287	171	3	61.6857	34.5771	159	13	85.8698	12.0618	117	67	18.1609	14.5882	64	1	7.8635	6.2824	93	1	11.4847	16.205	171	3	67.7556	36.2875	159	13	87.947	12.5738	117	67	0.2162
WK_Scan1.qptiff - resolution #1	1807c235-323f-47d5-bcea-89a7186aa0a3	Cell			Annotation	Polygon	2437.8	5760.7	43	23.8625	0.949	8.8055	6.3929	0.6838	64.4046	11142	17.8084	124	32	92	6.4451	1115	2.163	12	3	9	9.0405	1564	3.266	27	5	22	62.1618	10754	20.3666	110	32	78	86.3179	14933	8.417	109	72	37	174.75	50.1856	0.8719	18.3195	13.6783	0.69	25.8326	24.1321	124	5	9.4993	2.7645	29	3	8.044	2.1379	27	5	93.0482	25.1111	139	32	97.9702	9.8016	118	72	13.2895	5.1973	45	5	10.4925	2.1423	29	4	7.7199	1.475	23	5	103.0921	17.0228	139	46	101.7594	6.7678	118	81	0.2409
WK_Scan1.qptiff - resolution #1	29069422-696a-44b1-9a81-a9049885a9e1	Cell			Annotation	Polygon	2451.5	5762.5	47.25	24.7013	0.9731	8.3333	7.1554	0.512	54.2251	10357	14.5984	134	26	108	5.911	1129	2.2023	17	3	14	12.9686	2477	8.0039	64	6	58	50.7173	9687	18.4765	111	27	84	82.6859	15793	7.7789	107	72	35	184	50.9573	0.8905	18.1262	13.5664	0.6933	21.923	21.0937	134	2	7.3568	3.6649	45	1	9.0446	6.2598	64	4	64.3595	25.0401	131	16	87.55	9.4127	114	70	10.6849	5.9943	44	2	7.8597	3.9306	45	1	7.6794	4.837	64	4	69.1056	25.2932	131	16	89.2423	9.348	114	70	0.2519
WK_Scan1.qptiff - resolution #1	9882433a-a0cf-4954-bd68-edd3c3331085	Cell			Annotation	Polygon	2402.7	5766.9	68.5	34.1855	0.7366	12.3466	8.383	0.7182	48.9345	13457	13.4933	107	25	82	4.7127	1296	2.0039	10	2	8	13.1527	3617	13.2372	121	5	116	45.9673	12641	20.3933	100	21	79	79.4473	21848	8.5222	106	68	38	274.5	61.791	0.9034	22.1534	17.4529	0.5701	21.0856	18.2908	107	2	7.0656	3.2142	24	0	8.1184	7.4687	121	3	70.4672	30.5654	135	14	87.2678	11.4128	111	64	11.7801	6.295	45	2	7.8518	3.1588	24	0	6.4362	2.1733	39	3	78.6537	28.9871	135	14	89.8809	11.0599	111	64	0.2476
WK_Scan1.qptiff - resolution #1	12641fa3-655e-4b8d-b2a7-20f000c6ecbf	Cell			Annotation	Polygon	2479.1	5765.4	18.25	15.6602	0.9351	5.5746	4.2268	0.6491	83.3289	6333	18.1192	132	44	88	8.0658	613	7.2743	43	3	40	32.8421	2496	22.8952	133	15	118	37	2812	6.0597	53	28	25	78.1711	5941	2.8113	86	73	13	65.25	31.0155	0.8524	11.8538	8.3081	0.694	34.297	33.9291	132	5	7.2368	5.8639	48	3	36.0902	30.628	229	9	42.9323	9.7157	71	28	80.2143	4.2028	91	71	14.6842	11.4182	68	5	6.9053	5.1795	48	3	37.3895	33.1864	229	9	45.3053	9.898	71	28	81.0316	4.3908	91	71	0.2678
