Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 570 (C2) mean	Nucleus: Opal 570 (C2) sum	Nucleus: Opal 570 (C2) std dev	Nucleus: Opal 570 (C2) max	Nucleus: Opal 570 (C2) min	Nucleus: Opal 570 (C2) range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Sample AF (C5) mean	Nucleus: Sample AF (C5) sum	Nucleus: Sample AF (C5) std dev	Nucleus: Sample AF (C5) max	Nucleus: Sample AF (C5) min	Nucleus: Sample AF (C5) range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 570 (C2) mean	Cell: Opal 570 (C2) std dev	Cell: Opal 570 (C2) max	Cell: Opal 570 (C2) min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Sample AF (C5) mean	Cell: Sample AF (C5) std dev	Cell: Sample AF (C5) max	Cell: Sample AF (C5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 570 (C2) mean	Cytoplasm: Opal 570 (C2) std dev	Cytoplasm: Opal 570 (C2) max	Cytoplasm: Opal 570 (C2) min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Sample AF (C5) mean	Cytoplasm: Sample AF (C5) std dev	Cytoplasm: Sample AF (C5) max	Cytoplasm: Sample AF (C5) min	Nucleus/Cell area ratio	Nucleus: Opal 570 mean	Nucleus: Opal 570 sum	Nucleus: Opal 570 std dev	Nucleus: Opal 570 max	Nucleus: Opal 570 min	Nucleus: Opal 570 range	Nucleus: Sample AF mean	Nucleus: Sample AF sum	Nucleus: Sample AF std dev	Nucleus: Sample AF max	Nucleus: Sample AF min	Nucleus: Sample AF range	Cell: Opal 570 mean	Cell: Opal 570 std dev	Cell: Opal 570 max	Cell: Opal 570 min	Cell: Sample AF mean	Cell: Sample AF std dev	Cell: Sample AF max	Cell: Sample AF min	Cytoplasm: Opal 570 mean	Cytoplasm: Opal 570 std dev	Cytoplasm: Opal 570 max	Cytoplasm: Opal 570 min	Cytoplasm: Sample AF mean	Cytoplasm: Sample AF std dev	Cytoplasm: Sample AF max	Cytoplasm: Sample AF min
WJ_Scan1.qptiff - resolution #1	abdcc8af-0f5a-4154-8d36-8536a761f3f2	Cell			Annotation	Polygon	2182.7	3860.1	28.25	19.8461	0.9013	7.137	5.3096	0.6278	56.7391	6525	13.6672	101	24	77	4.0957	471	0.9998	8	2	6	11.8087	1358	3.4435	22	8	14	27.0174	3107	4.5073	46	22	24	82.4435	9481	1.9019	90	78	12	91.25	38.6282	0.7685	14.7814	9	0.7484	30.168	22.7503	101	3	4.0298	1.9841	18	1	8.8455	3.4406	22	4	29.2087	10.2683	59	14	82.9079	3.4684	93	76	18.1378	14.2285	86	3	4	2.2962	18	1	7.5039	2.4652	16	4	30.2008	11.876	59	14	83.1181	3.9655	93	76	0.3044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	072aeb47-c002-4a48-815d-baf8591fbcb5	Cell			Annotation	Polygon	2267	3858.1	12	14.0789	0.7608	5.5899	3	0.8385	44.7308	2326	7.8543	76	32	44	7.2308	376	2.3061	18	5	13	47.1538	2452	28.4615	141	18	123	55.3269	2877	7.4983	79	45	34	88.8077	4618	2.9375	98	83	15	43	30.6665	0.5746	13.5449	4.2211	0.9477	26.6264	16.1153	76	6	7.2069	2.2561	24	4	42.2529	32.0264	242	8	61.5345	12.0503	92	41	90.3966	4.0869	102	83	18.9098	12.0172	60	6	7.1967	2.244	24	4	40.1639	33.3217	242	8	64.1803	12.6609	92	41	91.0738	4.324	102	83	0.2854	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	ecdfadf7-4e2d-4b15-a7e8-aa0539593c50	Cell			Annotation	Polygon	2249.6	3861.1	35.75	25.0094	0.7183	10.2825	4.5948	0.8945	63.277	9365	13.998	113	35	78	3.7905	561	1.2413	12	2	10	89.6824	13273	43.4264	232	31	201	26.8649	3976	3.3353	37	21	16	80.6689	11939	2.078	88	76	12	102.5	39.8715	0.8102	14.3864	10.8659	0.4957	35.301	26.2965	113	6	4.3519	1.1756	12	2	65.1675	56.076	246	8	35.8786	10.4883	63	21	83.1359	3.4176	94	76	19.6174	16.8458	67	6	4.6667	1.0107	8	3	51.4242	57.7251	246	8	40.9318	9.7128	63	25	84.5189	3.2394	94	78	0.3424	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	7d14c2da-7c79-4a84-9d58-76520f0d2530	Cell			Annotation	Polygon	2225.6	3863.3	45.5	24.4053	0.96	8.2446	7.1995	0.4158	47.2595	8743	11.0068	105	25	80	5.027	930	1.2399	9	3	6	11.7243	2169	6.2965	42	6	36	44.4324	8220	10.818	82	29	53	85.7405	15862	3.6037	98	80	18	216	53.3526	0.9536	17.9383	14.5	0.5056	18.8072	16.2176	105	5	6.5947	1.6366	12	3	8.515	3.6138	42	5	63.418	16.4505	112	29	91.0982	4.9865	107	80	11.0778	4.6597	40	5	7.0206	1.4631	12	4	7.6432	1.5235	24	5	68.5756	13.7066	112	39	92.5536	4.2645	107	83	0.2093	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	c0e93b5e-a935-4ddd-b6d4-a72125be05e9	Cell			Annotation	Polygon	2192	3862.9	39	22.6492	0.9554	7.6775	6.7131	0.4903	64.354	10361	19.2599	143	36	107	8.1553	1313	11.3096	126	3	123	19.5839	3153	12.6578	75	7	68	31.087	5005	8.0237	53	20	33	83.2609	13405	3.0032	93	78	15	120.75	42.652	0.8341	16.2032	9.5127	0.7968	35.0849	26.9853	143	4	10.7971	11.2411	126	2	12.6439	9.1589	75	4	47.5818	20.202	101	15	87.8758	6.2531	107	77	20.4503	16.2492	127	4	12.118	10.9879	90	2	9.1739	3.1407	30	4	55.8292	19.3915	101	15	90.1832	6.1801	107	77	0.3255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	55a1a1a5-9879-43d1-9e0f-506d30aaa80e	Cell			Annotation	Polygon	2257.9	3863.4	31.5	23.2911	0.7297	7.984	5.2833	0.7818	80.5865	10718	17.0161	133	48	85	9.4211	1253	3.551	24	4	20	201.0451	26739	60.492	247	71	176	58.8271	7824	31.4078	212	28	184	94.7895	12607	12.425	154	80	74	81.25	35.9366	0.7906	13.4062	7.7627	0.8238	50.4677	30.858	133	8	10.6523	8.2861	47	3	160.3477	80.7699	247	17	75.6369	61.1502	255	27	100.9015	28.4868	244	79	29.6042	18.5994	76	8	11.5052	10.2941	47	3	132.1562	81.1501	247	17	87.2812	72.9958	255	27	105.1354	35.0121	244	79	0.3938	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	cd7cd321-4186-4715-85fc-db0e9a1950fe	Cell			Annotation	Polygon	2266.1	3865.9	37.25	23.8263	0.8246	8.5792	6.6905	0.6081	102.3067	15346	24.0634	185	47	138	7.7467	1162	4.8136	30	4	26	109.4067	16411	72.1815	248	23	225	69.72	10458	56.539	255	36	219	100.1867	15028	29.7749	233	82	151	91.5	38.1231	0.7911	13.5089	9.4161	0.5556	58.0679	42.928	185	4	9.5109	10.9073	52	2	70.4293	65.9241	248	8	77.4674	70.1904	255	27	106.0734	45.2141	249	77	27.6284	20.8666	79	4	10.7248	13.4783	52	2	43.6101	44.72	247	8	82.7982	77.8925	255	27	110.1239	52.9932	249	77	0.4083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	8de45d4b-f014-44f6-bb98-2e9478a7de51	Cell			Annotation	Polygon	2275	3866.2	18	15.9877	0.8849	6.1431	3.7969	0.7769	54.8667	4115	20.3406	116	23	93	2.9333	220	0.9202	5	2	3	17.5067	1313	16.1181	95	5	90	26.6267	1997	7.5691	47	16	31	79.3867	5954	3.3527	90	73	17	117	41.6753	0.8465	15.7605	9.5	0.7871	14.2564	20.3975	116	1	2.4449	1.2741	7	1	8.3877	9.5159	95	3	23.0191	11.4206	67	12	76.9619	4.1952	90	71	6.5844	6.7962	60	1	2.3526	1.311	7	1	6.665	6.3585	82	3	22.3375	11.8952	67	12	76.5038	4.1843	90	71	0.1474	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	5d23938c-8d04-41c5-994b-8b1f2fae495c	Cell			Annotation	Polygon	2201.8	3868.6	36.75	21.7234	0.9786	7.6443	6.2322	0.5436	64.3	9645	12.9888	117	34	83	5.4733	821	1.5531	10	3	7	15.6867	2353	6.0169	31	8	23	47.3333	7100	12.1692	83	33	50	87.8533	13178	4.2035	102	82	20	158	46.4306	0.921	15.9134	13.4459	0.4815	24.2563	23.764	117	4	6.8797	1.7574	10	3	9.7437	4.6193	31	5	65.1044	17.4033	99	33	93.3639	5.6723	108	82	11.7946	5.7365	42	4	7.3174	1.5798	10	3	7.8942	1.5284	18	5	70.6349	14.9102	99	38	95.0788	4.9313	108	85	0.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	f063009d-42be-4dd5-affe-b37fcaf71a6e	Cell			Annotation	Polygon	2249.2	3871.1	50.5	34.6982	0.5271	14.0782	5.4306	0.9368	68.7745	14030	19.1743	124	32	92	3.7108	757	0.7814	7	2	5	20.7647	4236	8.9091	53	8	45	29.598	6038	6.2553	55	22	33	80	16320	2.4695	89	75	14	156.75	54.824	0.6554	21.5847	9.8324	0.9019	33.7536	28.8276	124	4	4.5782	1.6335	12	2	18.6303	16.1284	184	5	40.5087	15.8684	107	20	83.0269	4.5733	103	75	17.1002	13.7911	70	4	4.9907	1.7668	12	2	17.6154	18.5273	184	5	45.697	16.4179	107	20	84.4662	4.642	103	75	0.3116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
