"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Efferent VSMC","EG Mesangial Cell","Bmp6","ACVR1_ACVR2A",0.00621196195331567,0,"BMP6_ACVR1_ACVR2A","Bmp6  - (Acvr1+Acvr2a)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"2","Efferent VSMC","EG Mesangial Cell","Bmp6","ACVR1_BMPR2",0.0121862214558002,0,"BMP6_ACVR1_BMPR2","Bmp6  - (Acvr1+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"3","Efferent VSMC","IG Mesangial Cell","Bmp6","ACVR1_BMPR2",0.0080841009379138,0,"BMP6_ACVR1_BMPR2","Bmp6  - (Acvr1+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"4","Efferent VSMC","EG Mesangial Cell","Bmp6","BMPR1A_ACVR2A",0.00734227640694446,0,"BMP6_BMPR1A_ACVR2A","Bmp6  - (Bmpr1a+Acvr2a)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"5","Efferent VSMC","TAL A","Bmp6","BMPR1A_ACVR2A",0.00548139161091587,0,"BMP6_BMPR1A_ACVR2A","Bmp6  - (Bmpr1a+Acvr2a)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"6","Efferent VSMC","TAL B","Bmp6","BMPR1A_ACVR2A",0.0057096140522479,0,"BMP6_BMPR1A_ACVR2A","Bmp6  - (Bmpr1a+Acvr2a)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"7","Efferent VSMC","Pericyte","Bmp6","BMPR1A_BMPR2",0.00861751545105662,0,"BMP6_BMPR1A_BMPR2","Bmp6  - (Bmpr1a+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"8","Efferent VSMC","Efferent VSMC","Bmp6","BMPR1A_BMPR2",0.0132069795529025,0,"BMP6_BMPR1A_BMPR2","Bmp6  - (Bmpr1a+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"9","Efferent VSMC","EG Mesangial Cell","Bmp6","BMPR1A_BMPR2",0.0143878602951246,0,"BMP6_BMPR1A_BMPR2","Bmp6  - (Bmpr1a+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"10","Efferent VSMC","Granular Cell","Bmp6","BMPR1A_BMPR2",0.0141972800531789,0,"BMP6_BMPR1A_BMPR2","Bmp6  - (Bmpr1a+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"11","Efferent VSMC","Afferent VSMC","Bmp6","BMPR1A_BMPR2",0.0137275970127355,0,"BMP6_BMPR1A_BMPR2","Bmp6  - (Bmpr1a+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"12","Efferent VSMC","IG Mesangial Cell","Bmp6","BMPR1A_BMPR2",0.00853330833762627,0,"BMP6_BMPR1A_BMPR2","Bmp6  - (Bmpr1a+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"13","Efferent VSMC","TAL A","Bmp6","BMPR1A_BMPR2",0.00588464116196136,0,"BMP6_BMPR1A_BMPR2","Bmp6  - (Bmpr1a+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"14","Efferent VSMC","TAL B","Bmp6","BMPR1A_BMPR2",0.00607811674689132,0,"BMP6_BMPR1A_BMPR2","Bmp6  - (Bmpr1a+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"15","Efferent VSMC","MD","Bmp6","BMPR1A_BMPR2",0.00613699622081064,0,"BMP6_BMPR1A_BMPR2","Bmp6  - (Bmpr1a+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264"
"16","TAL A","TAL A","Egf","Egfr",0.046448270388911,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"17","TAL B","TAL A","Egf","Egfr",0.0516266807919613,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"18","MD","TAL A","Egf","Egfr",0.017213335856285,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"19","TAL A","TAL B","Egf","Egfr",0.0613226219995331,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"20","TAL B","TAL B","Egf","Egfr",0.0680410104421769,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"21","MD","TAL B","Egf","Egfr",0.0229509791069012,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"22","TAL A","TAL A","Nrg1","Erbb4",0.0636545923481663,0,"NRG1_ERBB4","Nrg1  - Erbb4","NRG","Secreted Signaling","KEGG: mmu04012"
"23","TAL B","TAL A","Nrg1","Erbb4",0.0706618752889028,0,"NRG1_ERBB4","Nrg1  - Erbb4","NRG","Secreted Signaling","KEGG: mmu04012"
"24","TAL A","TAL B","Nrg1","Erbb4",0.0633187719734876,0,"NRG1_ERBB4","Nrg1  - Erbb4","NRG","Secreted Signaling","KEGG: mmu04012"
